CPV CODE,Omschrijving,Producten onder ecodesign
30213000-5,Personal computers,TRUE
30213100-6,Draagbare computers,TRUE
30214000-2,Werkstations,TRUE
30231300-0,Beeldschermen,TRUE
30231310-3,Platte beeldschermen,TRUE
30233130-1,Magneetschijfgeheugeneenheden,TRUE
30233132-5,Hardeschijfeenheden,TRUE
30237360-0,LTO-cartridges,TRUE
30237370-3,Opnamecassettes,TRUE
31110000-0,Elektromotoren,TRUE
31111000-7,Adapters,TRUE
31131000-3,Eenfasemotoren,TRUE
31132000-0,Meerfasenmotoren,TRUE
31151000-9,Statische omvormers,TRUE
31500000-1,Verlichtingsuitrusting en elektrische lampen,TRUE
31510000-4,Elektrische gloeilampen,TRUE
31511000-1,Sealed-beam-lampen,TRUE
31512000-8,Halogeenlampen met wolfraamdraad,TRUE
31512100-9,"Halogeenlampen, lineair",TRUE
31512200-0,Halogeenlampen met twee contactpennen,TRUE
31512300-1,Koudlichthalogeenlampen,TRUE
31514000-2,Ontladingslampen,TRUE
31515000-9,Uv-lampen,TRUE
31516000-6,Infrarode lampen,TRUE
31517000-3,Booglampen,TRUE
31518000-0,Signalisatielichten,TRUE
31518100-1,Schijnwerpers,TRUE
31518200-2,Noodverlichtingsuitrusting,TRUE
31518210-5,Stormlantaarns,TRUE
31518220-8,Lichtstaven,TRUE
32320000-2,Televisie- en audiovisuele uitrusting,TRUE
32322000-6,Multimedia-uitrusting,TRUE
32324300-3,Televisie-uitrusting,TRUE
34350000-5,Banden voor normale en zware voertuigen,TRUE
34351000-2,Banden voor normale auto's,TRUE
34351100-3,Banden voor motorvoertuigen,TRUE
34352000-9,Banden voor zwaar gebruik,TRUE
34352100-0,Banden voor vrachtwagens,TRUE
34352200-1,Banden voor autobussen,TRUE
39700000-9,Huishoudelijke apparaten,TRUE
39710000-2,Elektrische huishoudelijke apparaten,TRUE
39711000-9,Elektrische huishoudelijke apparaten voor voedsel,TRUE
39711100-0,Koelkasten en diepvriezers,TRUE
39711110-3,Koel-vriescombinaties,TRUE
39711120-6,Diepvriezers,TRUE
39711130-9,Koelkasten,TRUE
39711200-1,Keukenmachines,TRUE
39711300-2,Elektrothermische toestellen,TRUE
39712200-8,Haarverzorgingsapparaten,TRUE
39712210-1,Haardrogers,TRUE
39712300-9,Elektrische handendrogers,TRUE
39713000-3,Elektrische huishoudelijke apparaten voor schoonmaakwerkzaamheden; strijkijzers,TRUE
39713100-4,Vaatwasmachines,TRUE
39713200-5,Wasmachines en drogers,TRUE
39713430-6,Stofzuigers,TRUE
39713500-8,Elektrische strijkijzers,TRUE
39713510-1,Stoomstrijkijzers,TRUE
39714100-1,Ventilatoren,TRUE
39715000-7,Warmwatertoestellen en verwarming voor gebouwen; loodgietersuitrusting,TRUE
39715100-8,Elektrische geisers of boilers en dompelaars,TRUE
39715200-9,Verwarmingsuitrusting,TRUE
39715210-2,Uitrusting voor centrale verwarming,TRUE
39715230-8,Elektrische bodemverwarmingstoestellen,TRUE
39715240-1,Elektrische toestellen voor ruimteverwarming,TRUE
39721100-3,Kooktoestellen voor huishoudelijk gebruik,TRUE
39721200-4,Koelkasten op gas,TRUE
42122000-0,Pompen,TRUE
42122100-1,Vloeistofpompen,TRUE
42122400-4,Centrifugaalpompen en elevators voor vloeistoffen,TRUE
42122450-9,Vacuümpompen,TRUE
42122460-2,Luchtpompen,TRUE
42160000-8,Boilerinstallaties,TRUE
42161000-5,Heetwaterboilers,TRUE
42511100-2,Warmtewisselaars,TRUE
42512000-8,Luchtbehandelingsinstallaties,TRUE
42513000-5,Koel- en diepvriesuitrusting,TRUE
42513100-6,Diepvriesuitrusting,TRUE
42513200-7,Koeluitrusting,TRUE
42513210-0,Koelvitrines,TRUE
42513220-3,Koeltoonbanken,TRUE
42513290-4,Bedrijfskoeluitrusting,TRUE
42520000-7,Ventilatie-uitrusting,TRUE
42522000-1,Ventilatoren voor niet-huishoudelijk gebruik,TRUE
42660000-0,"Toestellen voor (hard)solderen en lassen, machines en uitrusting voor oppervlakteharden; machines en toestellen voor warmspuiten",TRUE
42661000-7,Uitrusting voor (hard)solderen,TRUE
42662000-4,Lasuitrusting,TRUE
42663000-1,Machines voor oppervlakteharden,TRUE
42664000-8,Versmeltingsuitrusting,TRUE
44611400-0,Opslagtanks,TRUE
44611420-6,Slibopslagtanks,TRUE
44611500-1,Watertanks,TRUE
44621200-1,Verwarmingsketels,TRUE
44621210-4,Waterkokers,TRUE
44621220-7,Ketels voor centrale verwarming,TRUE
48820000-2,Servers,TRUE
48821000-9,Netwerkservers,TRUE
48822000-6,Computerservers,TRUE