CPV CODE,Omschrijving,Producten met energielabel
30231300-0,Beeldschermen,TRUE
30231310-3,Platte beeldschermen,TRUE
30231320-6,Touchscreenmonitors,TRUE
31500000-1,Verlichtingsuitrusting en elektrische lampen,TRUE
31510000-4,Elektrische gloeilampen,TRUE
31511000-1,Sealed-beam-lampen,TRUE
31512000-8,Halogeenlampen met wolfraamdraad,TRUE
31512100-9,"Halogeenlampen, lineair",TRUE
31512200-0,Halogeenlampen met twee contactpennen,TRUE
31512300-1,Koudlichthalogeenlampen,TRUE
31514000-2,Ontladingslampen,TRUE
31515000-9,Uv-lampen,TRUE
31516000-6,Infrarode lampen,TRUE
31517000-3,Booglampen,TRUE
31518000-0,Signalisatielichten,TRUE
31518100-1,Schijnwerpers,TRUE
31518200-2,Noodverlichtingsuitrusting,TRUE
31518210-5,Stormlantaarns,TRUE
31518220-8,Lichtstaven,TRUE
32320000-2,Televisie- en audiovisuele uitrusting,TRUE
32322000-6,Multimedia-uitrusting,TRUE
32324300-3,Televisie-uitrusting,TRUE
39700000-9,Huishoudelijke apparaten,TRUE
39710000-2,Elektrische huishoudelijke apparaten,TRUE
39711000-9,Elektrische huishoudelijke apparaten voor voedsel,TRUE
39711100-0,Koelkasten en diepvriezers,TRUE
39711110-3,Koel-vriescombinaties,TRUE
39711120-6,Diepvriezers,TRUE
39711130-9,Koelkasten,TRUE
39711200-1,Keukenmachines,TRUE
39711300-2,Elektrothermische toestellen,TRUE
39712200-8,Haarverzorgingsapparaten,TRUE
39712210-1,Haardrogers,TRUE
39712300-9,Elektrische handendrogers,TRUE
39713000-3,Elektrische huishoudelijke apparaten voor schoonmaakwerkzaamheden; strijkijzers,TRUE
39713100-4,Vaatwasmachines,TRUE
39713200-5,Wasmachines en drogers,TRUE
39713430-6,Stofzuigers,TRUE
39713500-8,Elektrische strijkijzers,TRUE
39713510-1,Stoomstrijkijzers,TRUE
39714000-0,Afzuigkappen met of zonder luchtverversing,TRUE
42512000-8,Luchtbehandelingsinstallaties,TRUE
42513000-5,Koel- en diepvriesuitrusting,TRUE
42513100-6,Diepvriesuitrusting,TRUE
42513200-7,Koeluitrusting,TRUE
42513210-0,Koelvitrines,TRUE
42513220-3,Koeltoonbanken,TRUE
42513290-4,Bedrijfskoeluitrusting,TRUE
42514000-2,Machines en toestellen voor het filtreren of zuiveren van gassen,TRUE